Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;35.36;35.36;0;0;0;0;6;78;42;36;53.8;0;0;0;0.0;78;42;36;53.8
Checkpoint_3;48.96;13.60;0;0;0;0;0;33;27;6;81.8;0;0;0;0.0;33;27;6;81.8
Checkpoint_4;342.66;293.70;10;10;0;10;0;85;0;85;0.0;0;0;0;0.0;85;0;85;0.0
Checkpoint_5;450.42;107.76;3;13;0;3;11;126;70;56;55.6;0;0;0;0.0;126;70;56;55.6
Checkpoint_6;981.10;530.68;2;15;0;2;24;1075;491;584;45.7;40;4;36;10.0;1115;495;620;44.4
Checkpoint_7;994.34;13.24;0;15;0;0;4;16;13;3;81.3;6;3;3;50.0;22;16;6;72.7
Checkpoint_8;1016.64;22.30;0;15;0;0;0;0;0;0;0.0;1;0;1;0.0;1;0;1;0.0
Checkpoint_9;1104.04;87.40;2;17;0;2;4;47;22;25;46.8;2;0;2;0.0;49;22;27;44.9
Checkpoint_10;1111.02;6.98;0;17;0;0;1;0;0;0;0.0;1;1;0;100.0;1;1;0;100.0
Final_Level;1163.75;52.73;0;17;0;0;2;70;68;2;97.1;8;6;2;75.0;78;74;4;94.9
