Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;62.32;62.32;0;0;0;0;6;59;42;17;71.2;0;0;0;0.0;59;42;17;71.2
Checkpoint_3;78.78;16.46;0;0;0;0;0;35;27;8;77.1;0;0;0;0.0;35;27;8;77.1
Checkpoint_4;112.40;33.62;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;217.62;105.22;2;2;0;2;10;106;70;36;66.0;0;0;0;0.0;106;70;36;66.0
Checkpoint_6;765.96;548.34;3;5;0;3;27;1015;626;389;61.7;13;4;9;30.8;1028;630;398;61.3
Checkpoint_7;778.00;12.04;0;5;0;0;4;31;23;8;74.2;1;1;0;100.0;32;24;8;75.0
Checkpoint_8;834.80;56.80;2;7;0;2;1;17;10;7;58.8;3;0;3;0.0;20;10;10;50.0
Checkpoint_9;905.10;70.30;3;10;1;2;3;37;18;19;48.6;0;0;0;0.0;37;18;19;48.6
Checkpoint_10;909.80;4.70;0;10;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;970.39;60.59;0;10;0;0;2;107;93;14;86.9;3;3;0;100.0;110;96;14;87.3
