Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.06;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;71.60;71.54;0;0;0;0;6;84;42;42;50.0;0;0;0;0.0;84;42;42;50.0
Checkpoint_3;91.52;19.92;0;0;0;0;0;31;27;4;87.1;0;0;0;0.0;31;27;4;87.1
Checkpoint_4;129.60;38.08;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;176.42;46.82;0;0;0;0;5;57;35;22;61.4;0;0;0;0.0;57;35;22;61.4
Checkpoint_6;957.48;781.06;1;1;1;0;23;605;512;93;84.6;19;2;17;10.5;624;514;110;82.4
Checkpoint_7;969.18;11.70;0;1;0;0;4;8;7;1;87.5;4;3;1;75.0;12;10;2;83.3
Checkpoint_8;990.38;21.20;0;1;0;0;1;0;0;0;0.0;1;1;0;100.0;1;1;0;100.0
Checkpoint_9;1037.24;46.86;1;2;0;1;1;0;0;0;0.0;1;1;0;100.0;1;1;0;100.0
Checkpoint_10;1045.60;8.36;0;2;0;0;1;10;7;3;70.0;0;0;0;0.0;10;7;3;70.0
Final_Level;1140.91;95.31;2;4;0;2;5;115;94;21;81.7;18;18;0;100.0;133;112;21;84.2
