Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;181.62;181.62;1;1;1;0;11;180;80;100;44.4;0;0;0;0.0;180;80;100;44.4
Checkpoint_3;242.26;60.64;3;4;3;0;0;143;96;47;67.1;0;0;0;0.0;143;96;47;67.1
Checkpoint_4;398.42;156.16;5;9;0;5;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;578.38;179.96;3;12;1;2;12;168;88;80;52.4;0;0;0;0.0;168;88;80;52.4
Checkpoint_6;1101.96;523.58;3;15;0;3;23;644;408;236;63.4;45;10;35;22.2;689;418;271;60.7
Checkpoint_7;1129.16;27.20;0;15;0;0;4;21;9;12;42.9;7;3;4;42.9;28;12;16;42.9
Checkpoint_8;1174.62;45.46;1;16;0;1;2;9;7;2;77.8;1;1;0;100.0;10;8;2;80.0
Checkpoint_9;1239.32;64.70;1;17;0;1;2;8;7;1;87.5;2;1;1;50.0;10;8;2;80.0
Checkpoint_10;1263.52;24.20;1;18;1;0;2;30;14;16;46.7;0;0;0;0.0;30;14;16;46.7
Final_Level;1477.78;214.26;6;24;0;6;5;315;287;28;91.1;10;10;0;100.0;325;297;28;91.4
