Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;123.86;123.86;1;1;1;0;6;188;48;140;25.5;0;0;0;0.0;188;48;140;25.5
Checkpoint_3;145.30;21.44;0;1;0;0;0;46;27;19;58.7;0;0;0;0.0;46;27;19;58.7
Checkpoint_4;183.04;37.74;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;303.58;120.54;4;5;0;4;7;106;45;61;42.5;0;0;0;0.0;106;45;61;42.5
Checkpoint_6;1359.28;1055.70;8;13;3;5;35;1826;745;1081;40.8;84;7;77;8.3;1910;752;1158;39.4
Checkpoint_7;1374.72;15.44;0;13;0;0;4;16;2;14;12.5;6;4;2;66.7;22;6;16;27.3
Checkpoint_9;1595.98;221.26;6;19;0;6;9;197;72;125;36.5;2;0;2;0.0;199;72;127;36.2
Checkpoint_10;1600.28;4.30;0;19;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;1792.40;192.12;3;22;0;3;7;203;156;47;76.8;15;13;2;86.7;218;169;49;77.5
