Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.22;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;56.78;56.56;0;0;0;0;6;53;42;11;79.2;0;0;0;0.0;53;42;11;79.2
Checkpoint_3;109.10;52.32;0;0;0;0;0;42;27;15;64.3;0;0;0;0.0;42;27;15;64.3
Checkpoint_4;138.26;29.16;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;178.96;40.70;0;0;0;0;5;55;35;20;63.6;0;0;0;0.0;55;35;20;63.6
Checkpoint_6;535.06;356.10;0;0;0;0;23;454;354;100;78.0;55;14;41;25.5;509;368;141;72.3
Checkpoint_7;543.22;8.16;0;0;0;0;4;0;0;0;0.0;4;4;0;100.0;4;4;0;100.0
Checkpoint_8;560.66;17.44;0;0;0;0;2;10;7;3;70.0;2;1;1;50.0;12;8;4;66.7
Checkpoint_9;591.56;30.90;0;0;0;0;1;0;0;0;0.0;2;2;0;100.0;2;2;0;100.0
Checkpoint_10;601.24;9.68;0;0;0;0;1;0;0;0;0.0;2;2;0;100.0;2;2;0;100.0
Final_Level;640.28;39.04;0;0;0;0;2;59;59;0;100.0;10;6;4;60.0;69;65;4;94.2
