Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;82.44;82.44;0;0;0;0;6;70;42;28;60.0;0;0;0;0.0;70;42;28;60.0
Checkpoint_3;115.86;33.42;0;0;0;0;0;49;27;22;55.1;0;0;0;0.0;49;27;22;55.1
Checkpoint_4;304.16;188.30;4;4;0;4;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;529.36;225.20;4;8;0;4;18;133;119;14;89.5;0;0;0;0.0;133;119;14;89.5
Checkpoint_6;1097.46;568.10;1;9;0;1;28;764;445;319;58.2;80;8;72;10.0;844;453;391;53.7
Checkpoint_7;1111.64;14.18;0;9;0;0;4;20;15;5;75.0;3;2;1;66.7;23;17;6;73.9
Checkpoint_8;1161.02;49.38;1;10;0;1;3;0;0;0;0.0;5;3;2;60.0;5;3;2;60.0
Checkpoint_9;1261.60;100.58;3;13;0;3;0;0;0;0;0.0;2;0;2;0.0;2;0;2;0.0
Checkpoint_10;1270.00;8.40;1;14;1;0;1;10;7;3;70.0;0;0;0;0.0;10;7;3;70.0
Final_Level;1327.97;57.97;0;14;0;0;2;91;79;12;86.8;6;4;2;66.7;97;83;14;85.6
